policy,seed,wait_seconds
batch,1,158.9000
batch,1,150.0000
batch,1,54.8000
batch,1,658.0000
batch,1,124.3000
batch,1,94.7000
batch,1,123.6000
batch,1,228.0000
batch,1,135.8000
batch,1,120.0000
batch,1,93.6000
batch,1,207.4000
batch,1,136.1000
batch,1,126.2000
batch,1,55.9000
batch,1,165.2000
batch,1,103.9000
batch,1,101.2000
batch,1,165.4000
batch,1,143.1000
batch,1,177.9000
batch,1,109.2000
batch,1,152.9000
batch,1,108.2000
batch,1,157.5000
batch,1,64.0000
batch,1,143.5000
batch,1,128.0000
batch,1,95.5000
batch,1,28.1000
batch,1,114.3000
batch,1,235.1000
batch,1,130.3000
batch,1,118.8000
batch,1,208.5000
batch,1,96.9000
batch,1,126.1000
batch,1,95.7000
batch,1,604.5000
batch,1,110.2000
batch,1,86.9000
batch,1,174.3000
batch,1,198.9000
batch,1,181.7000
batch,1,202.0000
batch,1,190.6000
batch,1,103.0000
batch,1,657.8000
batch,1,198.7000
batch,1,12.6000
batch,1,105.6000
batch,1,126.7000
batch,1,95.7000
batch,1,117.7000
batch,1,159.7000
batch,1,161.2000
batch,1,149.0000
batch,1,140.3000
batch,1,173.7000
batch,1,217.4000
batch,1,642.5000
batch,1,167.7000
batch,1,312.2000
batch,1,152.9000
batch,1,124.3000
batch,1,178.4000
batch,1,264.1000
batch,1,243.8000
batch,1,269.1000
batch,1,201.6000
batch,1,243.4000
batch,1,425.0000
batch,1,169.2000
batch,1,239.8000
batch,1,107.0000
batch,1,205.0000
batch,1,188.4000
batch,1,145.1000
batch,1,85.1000
batch,1,178.4000
batch,1,295.9000
batch,1,223.5000
batch,1,748.8000
batch,1,187.3000
batch,1,1161.2000
batch,1,87.2000
batch,1,71.1000
batch,1,94.8000
batch,1,133.6000
batch,1,289.7000
batch,1,149.1000
batch,1,174.5000
batch,1,107.4000
batch,1,119.8000
batch,1,216.0000
batch,1,164.0000
batch,1,227.9000
batch,1,195.7000
batch,1,182.5000
batch,1,66.5000
batch,1,169.2000
batch,1,128.0000
batch,1,128.4000
batch,1,172.7000
batch,1,35.9000
batch,1,250.5000
batch,1,648.7000
batch,1,196.9000
batch,1,176.4000
batch,1,112.2000
batch,1,130.7000
batch,1,322.0000
batch,1,569.7000
batch,1,100.9000
batch,1,222.5000
batch,1,123.8000
batch,1,251.9000
batch,1,649.4000
batch,1,949.2000
batch,1,170.6000
batch,1,600.9000
batch,1,741.3000
batch,2,34.4000
batch,2,26.4000
batch,2,30.4000
batch,2,3.9000
batch,2,43.5000
batch,2,19.4000
batch,2,39.8000
batch,2,24.8000
batch,2,37.8000
batch,2,47.4000
batch,2,19.2000
batch,2,55.3000
batch,2,18.9000
batch,2,20.1000
batch,2,1.4000
batch,2,30.5000
batch,2,33.6000
batch,2,57.2000
batch,2,23.5000
batch,2,10.4000
batch,2,22.7000
batch,2,15.4000
batch,2,316.9000
batch,2,8.3000
batch,2,4.4000
batch,2,64.2000
batch,2,35.5000
batch,2,71.4000
batch,2,29.7000
batch,2,61.3000
batch,2,48.6000
batch,2,5.9000
batch,2,12.8000
batch,2,19.6000
batch,2,51.9000
batch,2,23.3000
batch,2,58.9000
batch,2,55.6000
batch,2,40.4000
batch,2,20.2000
batch,2,24.4000
batch,2,33.5000
batch,2,48.4000
batch,2,1.0000
batch,2,75.2000
batch,2,33.0000
batch,2,34.2000
batch,2,49.5000
batch,2,28.8000
batch,2,16.2000
batch,2,55.5000
batch,2,129.5000
batch,2,31.9000
batch,2,87.9000
batch,2,298.8000
batch,2,99.6000
batch,2,47.4000
batch,2,23.7000
batch,2,16.6000
batch,2,38.4000
batch,2,1.6000
batch,2,34.4000
batch,2,34.0000
batch,2,101.9000
batch,2,27.4000
batch,2,110.9000
batch,2,31.0000
batch,2,61.1000
batch,2,78.5000
batch,2,37.4000
batch,2,237.8000
batch,2,32.4000
batch,2,30.2000
batch,2,19.6000
batch,2,23.7000
batch,2,271.3000
batch,2,88.3000
batch,2,56.4000
batch,2,34.9000
batch,2,317.3000
batch,2,77.1000
batch,2,62.9000
batch,2,83.9000
batch,2,21.4000
batch,2,201.8000
