demand,policy,seed,wait_seconds,picked_up
1,greedy,1,53.8000,true
1,greedy,1,121.6000,true
1,greedy,1,51.4000,true
1,greedy,1,45.0000,true
1,greedy,1,71.4000,true
1,greedy,1,60.6000,true
1,greedy,1,25.4000,true
1,greedy,1,51.4000,true
1,greedy,1,41.4000,true
1,greedy,1,13.2000,true
1,greedy,1,512.6000,true
1,greedy,1,94.0000,true
1,greedy,1,77.2000,true
1,greedy,1,102.7000,true
1,greedy,1,96.7000,true
1,greedy,1,98.0000,true
1,greedy,1,308.9000,true
1,greedy,1,66.7000,true
1,greedy,1,82.3000,true
1,greedy,1,49.4000,true
1,greedy,1,63.3000,true
1,greedy,1,109.3000,true
1,greedy,1,102.6000,true
1,greedy,1,120.2000,true
1,greedy,1,121.8000,true
1,greedy,1,59.7000,true
1,greedy,1,56.5000,true
1,greedy,1,75.6000,true
1,greedy,1,156.6000,true
1,greedy,1,398.6000,true
1,greedy,1,25.9000,true
1,greedy,1,138.1000,true
1,greedy,1,78.6000,true
1,greedy,1,25.6000,true
1,greedy,1,144.2000,true
1,greedy,1,88.0000,true
1,greedy,1,45.6000,true
1,greedy,1,49.6000,true
1,greedy,1,168.6000,true
1,greedy,1,29.5000,true
1,greedy,1,85.6000,true
1,greedy,1,126.9000,true
1,greedy,1,146.5000,true
1,greedy,1,93.3000,true
1,greedy,1,45.5000,true
1,greedy,1,451.1000,true
1,greedy,1,59.4000,true
1,greedy,1,30.8000,true
1,greedy,1,57.8000,true
1,greedy,1,87.6000,true
1,greedy,1,67.7000,true
1,greedy,1,61.2000,true
1,greedy,1,15.7000,true
1,greedy,1,115.8000,true
1,greedy,1,72.2000,true
1,greedy,1,65.3000,true
1,greedy,1,15.8000,true
1,greedy,1,78.0000,true
1,greedy,1,220.0000,true
1,greedy,1,40.6000,true
1,greedy,1,66.9000,true
1,greedy,1,143.4000,true
1,greedy,1,98.3000,true
1,greedy,1,5.7000,true
1,greedy,1,75.2000,true
1,greedy,1,27.5000,true
1,greedy,1,99.7000,true
1,greedy,1,67.4000,true
1,greedy,1,1.4000,true
1,greedy,1,258.2000,true
1,greedy,1,91.9000,true
1,greedy,1,64.0000,true
1,greedy,1,162.1000,true
1,greedy,1,154.6000,true
1,greedy,1,141.9000,true
1,greedy,1,39.3000,true
1,greedy,1,193.7000,true
1,greedy,1,78.1000,true
1,greedy,1,56.9000,true
1,greedy,1,94.9000,true
1,greedy,1,60.7000,true
1,greedy,1,104.9000,true
1,greedy,1,49.3000,true
1,greedy,1,27.1000,true
1,greedy,1,123.4000,true
1,greedy,1,58.5000,true
1,greedy,1,82.1000,true
1,greedy,1,119.2000,true
1,greedy,1,122.9000,true
1,greedy,1,93.0000,true
1,greedy,1,85.1000,true
1,greedy,1,720.6000,true
1,greedy,1,58.6000,true
1,greedy,1,93.4000,true
1,greedy,1,33.6000,true
1,greedy,1,132.7000,true
1,greedy,1,116.9000,true
1,greedy,1,93.8000,true
1,greedy,1,74.5000,true
1,greedy,1,145.7000,true
1,greedy,1,33.3000,true
1,greedy,1,57.3000,true
1,greedy,1,79.9000,true
1,greedy,1,88.9000,true
1,greedy,1,13.1000,true
1,greedy,1,79.6000,true
1,greedy,1,67.0000,true
1,greedy,1,67.6000,true
1,greedy,1,56.6000,true
1,greedy,1,81.4000,true
1,greedy,1,73.9000,true
1,greedy,1,88.1000,true
1,greedy,1,74.9000,true
1,greedy,1,62.9000,true
1,greedy,1,629.2000,true
1,greedy,1,125.5000,true
1,greedy,1,70.5000,true
1,greedy,1,190.1000,true
1,greedy,1,244.7000,true
1,greedy,1,93.4000,true
1,greedy,1,194.9000,true
1,greedy,1,138.3000,true
1,greedy,1,17.1000,true
1,greedy,1,107.8000,true
1,greedy,1,60.0000,true
1,greedy,1,70.1000,true
1,greedy,1,568.6000,true
1,greedy,1,55.1000,true
1,greedy,1,50.4000,true
1,greedy,1,142.4000,true
1,greedy,1,114.0000,true
1,greedy,1,69.1000,true
1,greedy,1,133.1000,true
1,greedy,1,144.5000,true
1,greedy,1,92.8000,true
1,greedy,1,60.1000,true
1,greedy,1,88.0000,true
1,greedy,1,115.4000,true
1,greedy,1,79.5000,true
1,greedy,1,142.8000,true
1,greedy,1,146.0000,true
1,greedy,1,74.8000,true
1,greedy,1,124.8000,true
1,greedy,1,219.4000,true
1,greedy,1,103.1000,true
1,greedy,1,199.1000,true
1,greedy,1,79.7000,true
1,greedy,1,80.0000,true
1,greedy,1,127.9000,true
1,greedy,1,93.6000,true
1,greedy,1,142.8000,true
1,greedy,1,106.0000,true
1,greedy,1,78.6000,true
1,greedy,1,177.7000,true
1,greedy,1,123.9000,true
1,greedy,1,81.0000,true
1,greedy,1,131.8000,true
1,greedy,1,458.1000,true
1,greedy,1,96.3000,true
1,greedy,1,87.1000,true
1,greedy,1,89.4000,true
1,greedy,1,71.6000,true
1,greedy,1,48.2000,true
1,greedy,1,231.6000,true
1,greedy,1,105.3000,true
1,greedy,1,81.6000,true
1,greedy,1,394.3000,true
1,greedy,1,33.8000,true
1,greedy,1,44.4000,true
1,greedy,1,148.4000,true
1,greedy,1,116.1000,true
1,greedy,1,85.5000,true
1,greedy,1,41.8000,true
1,greedy,1,28.1000,true
1,greedy,1,196.8000,true
1,greedy,1,627.5000,true
1,greedy,1,106.9000,true
1,greedy,1,173.1000,true
1,greedy,1,148.9000,true
1,greedy,1,145.8000,true
1,greedy,1,191.4000,true
1,greedy,1,11.7000,true
1,greedy,1,164.9000,true
1,greedy,1,117.5000,true
1,greedy,1,97.6000,true
1,greedy,1,89.3000,true
1,greedy,1,187.3000,true
1,greedy,1,153.5000,true
1,greedy,1,80.7000,true
1,greedy,1,104.6000,true
1,greedy,1,127.3000,true
1,greedy,1,99.9000,true
1,greedy,1,86.2000,true
1,greedy,1,80.1000,true
1,greedy,1,149.4000,true
1,greedy,1,83.0000,true
1,greedy,1,270.5000,true
1,greedy,1,119.7000,true
1,greedy,1,163.5000,true
1,greedy,1,247.4000,true
1,greedy,1,330.1000,true
1,greedy,1,141.3000,true
1,greedy,1,76.5000,true
